,id,listing_url,name,host_id,host_name,host_location,street,neighbourhood,city,state,zipcode,country,latitude,longitude,is_location_exact,room_type,accommodates,beds,bed_type,price,weekly_price,guests_included,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1184,1621001,https://www.airbnb.com/rooms/1621001,Private room in penthouse,8621998,Lars,"Copenhagen, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Amager,Copenhagen,Capital region of denmark,2300,Denmark,55.661319999999996,12.57165,f,Private room,2,1.0,Futon,670.0,-1.0,1,1,30,t,90,33,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1185,1623589,https://www.airbnb.com/rooms/1623589,Great spacius family apartment,8633669,Jesper,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1671,Denmark,55.66523000000001,12.54617,t,Entire home/apt,5,3.0,Real Bed,1199.0,-1.0,1,5,1125,t,225,6,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1186,1632744,https://www.airbnb.com/rooms/1632744,Charming apartment with garden.,8211663,Mette Og Steen,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Østerbro,Copenhagen,Capital region of denmark,2100,Denmark,55.701409999999996,12.57473,f,Entire home/apt,4,2.0,Real Bed,797.0,5000.0,1,6,1125,t,219,82,16,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1188,1636059,https://www.airbnb.com/rooms/1636059,Two rooms in basement,8674216,Jesper,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Amager Øst,Copenhagen,Capital region of denmark,2300,Denmark,55.64957,12.62917,t,Private room,2,2.0,Real Bed,503.0,2500.0,1,2,30,t,365,12,4,85.0,9.0,9.0,9.0,9.0,9.0,9.0
1189,1637888,https://www.airbnb.com/rooms/1637888, charming sunny apartment.,8672653,Helle,"noedlandsgade 1 2tv denmarkCopenhagen, Capital Region of Denmark, Denmark","Copenhagen, Sundby, Denmark",Amager,Copenhagen,Sundby,2300,Denmark,55.66511,12.60281,t,Entire home/apt,2,1.0,Real Bed,724.0,-1.0,1,3,1125,t,351,39,6,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1190,1639270,https://www.airbnb.com/rooms/1639270,"CPH: Central, yet secluded apt.",2142707,Jesper,"Copenhagen, Capital Region of Denmark, Denmark","Frederiksberg, Capital Region of Denmark, Denmark",Frederiksberg,Frederiksberg,Capital region of denmark,1801,Denmark,55.67115,12.53761,t,Entire home/apt,5,5.0,Real Bed,1119.0,5599.0,4,2,1125,t,262,39,11,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1192,1644334,https://www.airbnb.com/rooms/1644334,The city within the city!,8726926,Tue,"Frederiksberg, Capital Region of Denmark, Denmark","Frederiksberg, Capital Region of Denmark, Denmark",Frederiksberg,Frederiksberg,Capital region of denmark,1957,Denmark,55.6841,12.54153,f,Entire home/apt,5,4.0,Real Bed,858.0,-1.0,2,4,1125,t,208,26,1,97.0,10.0,9.0,10.0,10.0,10.0,10.0
1193,1645203,https://www.airbnb.com/rooms/1645203,Spacious and cosy flat by the water,8730796,Charlotte,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Amager,Copenhagen,Capital region of denmark,2300,Denmark,55.665330000000004,12.57807,t,Entire home/apt,5,3.0,Real Bed,797.0,5000.0,4,5,365,t,0,19,4,94.0,9.0,9.0,10.0,10.0,9.0,9.0
1194,1645230,https://www.airbnb.com/rooms/1645230,Christianshavn 2 rooms! Great place,7370714,Line,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Christianshavn,Copenhagen,Capital region of denmark,1424,Denmark,55.67055,12.590060000000001,f,Entire home/apt,2,1.0,Real Bed,583.0,3760.0,1,1,1125,t,222,20,3,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1196,1648746,https://www.airbnb.com/rooms/1648746,Lovely apartment with balcony,1282310,Louise,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen,Capital region of denmark,2200,Denmark,55.69842,12.55085,f,Entire home/apt,2,1.0,Real Bed,536.0,3733.0,2,8,20,t,0,14,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0
